Voice,Spiral,MRI,balanced_acc,auc
0.1,0.8,0.1,0.9062083333333334,0.8974722222222222
0.1,0.9,0.0,0.9051250000000001,0.8972222222222221
0.1,0.7,0.2,0.9018888888888889,0.894777777777778
0.1,0.6,0.3,0.8985972222222222,0.8991388888888889
0.2,0.8,0.0,0.8803472222222223,0.8971666666666666
0.2,0.7,0.1,0.8786805555555556,0.902611111111111
0.1,0.5,0.4,0.8769166666666668,0.8949722222222223
0.2,0.6,0.2,0.8692361111111111,0.9063055555555555
0.0,0.8,0.2,0.868152777777778,0.8948611111111112
0.0,0.6,0.4,0.8663888888888891,0.8857777777777778
0.0,0.9,0.1,0.863138888888889,0.8945000000000001
0.0,0.7,0.3,0.8614166666666669,0.8866388888888889
0.0,1.0,0.0,0.8612500000000002,0.8920000000000001
0.3,0.7,-0.0,0.8611666666666667,0.9109722222222221
0.0,0.5,0.5,0.859777777777778,0.881888888888889
0.2,0.5,0.3,0.8579722222222224,0.9116111111111111
0.3,0.6,0.1,0.8544583333333334,0.9168333333333334
0.1,0.4,0.5,0.8523611111111112,0.8911666666666668
0.2,0.4,0.4,0.8474027777777778,0.9140833333333334
0.0,0.4,0.6,0.8450277777777779,0.8693611111111114
0.1,0.3,0.6,0.8449583333333335,0.8968055555555554
0.3,0.5,0.2,0.8381527777777777,0.9222777777777776
0.0,0.3,0.7,0.830152777777778,0.8482500000000001
0.2,0.3,0.5,0.8128611111111111,0.9144722222222221
0.1,0.2,0.7,0.8110416666666669,0.8585833333333335
0.0,0.2,0.8,0.8019583333333333,0.8134722222222223
0.4,0.6,-0.0,0.7990972222222222,0.9175277777777777
0.3,0.4,0.3,0.7905416666666667,0.9195555555555556
0.2,0.2,0.6,0.7755694444444445,0.8945833333333333
0.4,0.5,0.1,0.7721111111111112,0.91725
0.3,0.3,0.4,0.769625,0.9176944444444447
0.1,0.1,0.8,0.7605694444444446,0.8274722222222222
0.0,0.1,0.9,0.760513888888889,0.7763055555555556
0.4,0.4,0.2,0.7590833333333334,0.9186944444444445
0.4,0.3,0.3,0.7569444444444445,0.9168333333333336
0.5,0.5,0.0,0.7566527777777778,0.9159166666666668
0.5,0.4,0.1,0.7550416666666668,0.9176666666666667
0.6,0.4,-0.0,0.7453194444444444,0.9084166666666665
0.3,0.2,0.5,0.7445138888888889,0.898361111111111
0.5,0.3,0.2,0.7440555555555557,0.9036111111111113
0.4,0.2,0.4,0.7386944444444445,0.9007777777777778
0.7,0.3,-0.0,0.7339166666666667,0.8905
0.6,0.3,0.1,0.7320694444444446,0.9016111111111109
0.5,0.2,0.3,0.731638888888889,0.8921666666666666
0.2,0.1,0.7,0.7307361111111113,0.8518055555555555
1.0,0.0,0.0,0.7302222222222223,0.8003888888888889
0.9,0.1,-0.0,0.7286666666666668,0.8428333333333333
0.9,0.0,0.1,0.7284444444444446,0.7983611111111111
0.7,0.1,0.2,0.7271666666666667,0.8581111111111112
0.6,0.2,0.2,0.7271527777777779,0.8833055555555556
0.3,0.1,0.6,0.7269861111111112,0.8543888888888889
0.8,0.1,0.1,0.7264722222222223,0.8494444444444444
0.8,0.0,0.2,0.7235416666666666,0.8029444444444445
0.6,0.1,0.3,0.7232916666666667,0.8571666666666666
0.8,0.2,-0.0,0.7223750000000001,0.8692777777777778
0.5,0.1,0.4,0.7188194444444446,0.8627500000000001
0.7,0.2,0.1,0.717875,0.8781388888888889
0.7,0.0,0.3,0.7175000000000001,0.8073333333333333
0.5,0.0,0.5,0.7171944444444446,0.80225
0.4,0.1,0.5,0.7168611111111112,0.8613333333333333
0.6,0.0,0.4,0.7141666666666666,0.8027222222222222
0.3,0.0,0.7,0.7046805555555555,0.7914166666666667
0.4,0.0,0.6,0.7032222222222223,0.8048333333333333
0.1,0.0,0.9,0.6848750000000001,0.7399722222222223
0.2,0.0,0.8,0.6842083333333335,0.7634722222222223
0.0,0.0,1.0,0.602375,0.6384444444444445
